stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.87,835.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.94,0,0,0,0,0,0,0,0,0,0
  5-6,33.42,208.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.66,0,102.7,0,0,0,0,0,0,0,0,0,15.54,0,0,0,0,0,0,0,0,0,0,0,96.86,8.71,0,0,46.08,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,21.46,0,0,0,17.02,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,69.54,34.13,0,0,63.29,0,0,0,5.78,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.31,1.89,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,1.96,0,0,1.8,16.68,9.92,0,0,0,0,2.15,0.9,0.89,10.7,15.95,7.55,0,0,1.64,0,0
 24-34,0,0,0,0,10.9,0,0,5.93,0,2.1,0,3.01,0,0,0.92,0,0,0,0,0,0,0.78,0,0,10.76,64.04,0.6,0,0.95,0,0,3.73,0,1.13,0,0,19.55,0,0,1.63,0,0
 36-46,0,0,0,0,8.39,5.34,0,4.76,0.58,0,0.72,5.21,0,0,0,0,1.59,0,0,0,0,13.97,0,0,2.18,71.92,0,0,0.57,0,0,2.92,0,0,0.58,0,9.81,0,0,3.48,0.78,9.59
 48-58,0,0,0,0,3,0,0,16.67,0,0.52,3.77,6.78,0,0,0.94,0,0.89,3.65,0,0,3.53,16.97,0,0.46,3.98,85.53,0,0,0.89,0,0.45,9.15,0,1.07,0,0,18.1,0,0,1.73,0,0
 60-70,0,0,0,0,10.95,0,0,48.9,0.65,0,0.76,13.85,0,0,0,5.42,0,6.34,0,0,1.22,23.22,1.1,0,3.46,63.75,0,0,0,0,0,5.35,0,0,0,0,8.4,0,0,0.92,0,8.62
 72-82,0,0,0,0,6.49,15.27,0,39.61,1.48,1.48,1.25,10.3,0.74,0,1.84,0,0.61,5.07,0,0,1.89,29,0.66,0.77,0,84.7,0.5,1.93,1.99,0,0,5.61,0,0,0,0,3.31,0,0,14.66,0,0
 84-94,0,0,0,0,2.69,11.2,0,26.72,1.33,0,0,21.52,0.9,0,0,2.33,0.6,0.87,0.6,0.62,0.96,46.26,0.91,0.55,5.8,87.43,0,2.85,3.8,0,0,29.81,0,1.36,0,0,0,0,4.73,7.59,1.59,12.03
 96-106,0,0,0,0,6.06,21.5,2.75,38.52,1.98,10.27,1.14,13.04,0,0,0,5.54,11.04,0,2.78,0,0,33.83,3.81,1.29,0,58.08,0,0,0.73,0,4.39,8.86,0,0,0,0,0,0,1.58,3.94,0,0
108-118,0,0,0.8,0,4.03,9.02,4.08,22.86,1.32,1.56,0.94,17.36,3.76,0,0,0.49,0.42,2.82,7.29,1.34,0,32.94,2.89,0,0,49.44,0,0,1.26,0,2.83,4.76,0,0,0.47,0,0,1.22,1.06,0.45,0,2.31
120,0,0,0,0,3.72,4.15,3.32,36.31,9.79,14.64,2.59,54.11,1.42,0,1.17,6.04,0,5.27,0,0,0,24.55,0,19.96,8.87,126.6,0,15.75,0,0,0,7.7,0,0,3.59,0,4.78,0,0,2.98,0,0
