stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,18.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5,0,0,0,0,0,0,0,0,0,0,0,20.24,0,0,0,0,0,0,0,0,0,0,0,26.26,6.67,0,0,20.65,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,56.09,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.74,9.79,0,0,3.18,0,6.2,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,2.44,1104.76,2.87,0,0.9,0,0,0,0,0,2.67,0,0,181.31,0,1.55,160.51,0,8.7,66.77,0,1.28,109.16,0,1.54,0,0,0,15.25,1.91,0,0,0.87,0.88,0,0,0,0,0
 24-34,0,0,5.78,26.87,285.08,3.96,0,5.11,0,0,0,0.75,31.8,1.46,0,0,1500.9,0,52.5,442.1,0,62.8,45.31,4.55,20.94,101.48,0,333.49,24.18,0,55.22,6.37,0,0,1.39,1.85,11.2,0,0,1.83,0,0
 36-46,0,0,2.2,9.74,158.98,8.24,0,5.97,0,14.32,1.23,1.34,54.77,0.99,0,0,1016.1,0.88,129.13,323.09,0,154.14,164.6,230.04,17.22,204.05,0,448.76,83.88,0,16.11,3.09,0,0,0,0,6.67,0,40.63,7.14,30.23,0
 48-58,0,0,1.66,41.98,128.3,0,0,35.71,2.33,0.37,1.96,6.38,151.4,20.22,0,0,778.44,0,291.15,430.77,1.11,213.74,136.19,316.8,28.86,233.49,0.49,540.31,20.94,0,29.28,3.66,0,0,0,0,17.4,0,25.72,4.98,1.5,3.6
 60-70,0,0,0,5.18,185.32,4.33,17.21,40.92,0,10.29,0,10.49,729.18,18.57,1.45,2.33,850.93,0,379.78,491.01,0,570.65,49.04,165.96,17.67,90.93,0,618.53,58.12,0,36.86,18.66,0,0,1.5,0,27.52,0,93.46,9.15,13.48,15.94
 72-82,0,0,0.62,17.34,168.86,13.48,27.84,204.86,0,4.08,11.39,65.08,575.06,0,0.56,1.87,1062.82,2.21,993.41,1088.9,0,1311.08,43.64,140.52,8.43,347.95,0.52,1188.47,30.21,0,57.58,11.33,0,0,0,0,22.07,9.42,198.57,156.87,54.01,32.31
 84-94,0,0,0,2.23,187.99,4.23,132.94,161.96,0.56,164.66,0,29.25,1147.64,27.07,0,3.28,2037.27,0,728.13,1996.36,0,1218.92,79.71,172.22,16.85,293.51,0,3111.55,32.07,0,39.38,47.79,0,0,0,0,0,0,153.89,20.64,58.62,5.47
 96-106,0,0,3.81,1.25,521.96,203.49,119.38,438.57,10.23,35.14,13.61,118.11,563.75,0,2.15,18.3,3214.84,5.14,1941.7,5737.9,0,2689.78,43.58,100,21.99,1180.65,23.29,5919.72,57.59,0,209.14,83.83,0,7.37,1.85,0,4.36,20.12,119.95,258.83,83.41,28.39
108-118,0,0,4.79,2.41,475.92,29.95,147.64,300.45,3.3,45.7,10.04,78.11,667.89,0,3.92,30.82,3257.22,3.66,1570.05,11538.09,10.59,3150.45,96.09,89.1,35.88,1181.15,6.71,3781.67,56.97,0,197.45,64.15,0,2.02,4.06,0,20.22,30.24,110.65,155.76,105.39,43.69
120,10.04,0,0,1.91,560.56,122.41,69.01,342.52,4.67,148.79,12.65,191.79,323.5,0,7.73,72.06,3088.58,2.12,1311.3,8333.59,0,4792.78,11.75,124.05,18.79,1283.62,4.72,3353.2,94.16,0,393.5,47.63,0,10.58,24.07,0,82.62,12.04,193.21,428.84,153.53,40.44
