stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,193.2,4768.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.84,0,0,0,0,0,0,0,0,0,0,0
  5-6,306.32,4347.28,0,0,0,0,0,0,0,0,0,0,0,22.81,0,0,0,0,0,0,0,0,0,0,0,227.13,0,0,0,28.19,0,51.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,324.04,206.2,0,312.3,0,0,0,826.75,0,0,0,0,0,494,0,0,0,0,0,0,0,0,0,0,0,4371.42,422.88,0,0,2504.27,0,13.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,162.57,0,494.86,0,0,0,999.64,0,0,0,0,0,250.08,0,0,0,0,0,0,0,0,0,0,3.87,6344.55,465.21,0,0,3765.41,0,27.52,7.55,14.05,206.97,0,70.95,47.89,0,0,0,0,0
 14-21,0,3.76,0,68.31,241.24,97.62,0,147.9,0,0,0,237.15,14.21,10.24,2.54,0,5.38,0,1.12,2.77,2.21,127.9,0,0,222.86,2787.2,66.87,15.82,43.47,59.89,0,152.83,0,603.56,1.89,336.55,1112.88,2015.01,0,0,47.32,0,1.88
 24-34,0,0,0,8.01,59.87,9.55,0,257.41,4.44,11.47,1.39,236,11.18,0.67,4.91,0,3.49,5.06,3.17,4.92,2.82,241.65,0.86,2.47,189.19,2995.35,14.11,2.2,17.92,0,2.91,296.45,0,1.59,6.14,87.42,182.97,1668.14,0,0,242.22,0,9.01
 36-46,0,0,0,1.19,22.53,1.85,0,445.67,17.18,2.75,6.52,269.28,10.55,1.6,1.69,0.65,0.63,17.02,0,8.08,7.96,210.38,1.93,17.56,101.35,2097.33,12.26,8.3,23.52,0,0,353.77,0,1.39,32.71,28.95,2.95,1540.5,0,0,91.15,0,5.83
 48-58,0.97,0,0,1.75,34.73,0,0,704.88,24.49,11.26,7.09,246.42,1.54,3.68,5.01,0,0.39,8.34,2.57,0,1.33,273.09,1.52,16.38,79.81,796.96,8.34,3.68,21.8,0,0,105.48,0,0,2.17,26.02,0,689.37,0,1.34,79.28,0,23.34
 60-70,0,0,0,0,26.83,1.44,0,587.6,2.97,5.41,5.52,153.35,3.36,3.71,0,0,1.74,1.51,8.07,2.11,5.89,303.73,1.69,22.25,44.72,380.36,18.94,0.83,8.81,0,2.43,177.45,0,0,4.15,24.83,0,159.32,1.62,1.29,60.06,0,11.44
 72-82,0,0,0.54,0,31.22,9.12,0,316.39,5.2,2.64,21.56,222.26,5.52,0,1.75,3.39,1.88,2.83,2.95,1.03,0,303.81,6.05,11.11,55.39,296.66,0.52,3.08,14.99,1.13,2.43,107.73,0,0,0.73,29.68,0,46.35,1.77,4.1,87.01,4.24,22.97
 84-94,0,0,1.44,0,32.24,7.55,3.83,272.53,2.8,8.24,6.86,145.44,7.73,0,0,3.07,1.68,5.19,5.24,7.48,6.31,278.73,1.39,14.08,59.98,255.57,1.29,20.22,10,0,6.64,263.91,0,0,6.95,14.4,0,33.38,6.27,4.36,124.1,12.3,1.53
 96-106,0,0,0.9,0,42.91,12.21,0,244.67,12.34,3.91,14.27,121.89,18.6,1.32,0,2.38,4.3,5.51,3.84,7.68,0,251.63,7.07,19.91,39.84,297.06,5.41,28.15,15.97,1.2,10.99,210.43,0,0,1.45,18.37,0,20.6,7.91,1.48,143.16,6.47,0.68
108-118,3.95,0,6.66,0.49,78.74,8.3,15.74,263.34,9.62,7.11,6.14,156.18,11.43,0,9.69,9.35,9.4,13.6,4.88,6.83,3.29,297.71,11.43,37.46,56.08,298.45,2.03,7.84,9.15,0,7.06,169.23,0,0,3.04,23.34,0,18.24,15.93,1.37,106.66,3.04,22.62
120,0,0,3.73,0,71.97,15.9,1.03,211.52,21.47,15.63,3.56,411.14,18.95,0,0,7.73,0,25.65,9.78,7.37,0,291.23,11.34,4.29,38.36,356.57,8.4,7.47,3.84,0,0,141.47,0,0,3.7,5.61,0,25.61,1.09,0,117.7,0,3.37
