stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,4831.14,103.23,30.97,0,794.87,51.61,0,206.46,1600.06,2043.94
12hpf,5775.54,188.92,36.63,175.43,1449.67,250.61,13.49,356.63,2606.32,1848.71
14hpf,5383.62,80.25,247.45,310.98,1096.79,491.55,93.63,143.79,1976.22,2233.7
16hpf,4643.05,205.08,352.74,319.93,1482.74,584.48,153.81,217.39,1995.45,2424.07
19hpf,5510.18,41.59,140.11,181.7,726.81,286.78,181.7,70.05,584.51,2285.51
24hpf,3857,70,677,190,1014,446,203,33,1623,1126
2dpf,1422.93,53.38,161.81,226.87,826.57,1405.42,219.36,76.73,568.01,1001.73
3dpf,2233.07,120.68,152.86,143.66,131.02,1676.81,56.89,0.57,164.92,476.96
5dpf,584.02,113.7,288.91,400.03,154.01,1699.85,125.59,174.69,418.63,1538.6
10dpf,1568.2,271.09,436.76,380.91,116.09,1812.32,98.52,3.77,333.85,429.86
