stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,3148.5,41.29,30.97,0,598.73,20.65,0,103.23,1249.08,443.89
12hpf,4715.28,133.01,34.7,134.94,1133.52,196.63,11.57,239.04,2253.54,1158.58
14hpf,2437.68,50.16,210.66,113.69,642.02,290.92,53.5,26.75,1093.44,555.08
16hpf,2889.6,100.49,332.23,155.86,1070.53,418.37,121,100.49,1431.47,1150.51
19hpf,2683.94,28.46,109.46,41.59,486,166.38,120.41,17.51,431.27,359.03
24hpf,1666,39,320,39,372,184,112,3,725,167
2dpf,420.37,28.36,28.36,51.71,259.4,451.24,59.22,10.01,186,129.28
3dpf,707.96,31.61,31.03,20.69,21.26,340.19,16.66,0.57,41.37,44.82
5dpf,297.18,36.69,163.32,119.9,69.77,1077.59,59.44,67.7,237.22,607.79
10dpf,772.49,82.83,121.74,154.37,78.44,1288.33,49.58,3.77,234.7,123.62
