stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,4025.95,0,0,0,10.32,0,0,0,72.26,134.2
12hpf,3965.38,25.06,1.93,0,160,9.64,3.86,5.78,71.33,260.25
14hpf,4410.56,0,3.34,3.34,46.81,53.5,3.34,6.69,26.75,157.16
16hpf,3683.27,6.15,6.15,12.3,49.22,24.61,14.36,16.41,112.79,297.37
19hpf,6372.72,0,2.19,2.19,21.89,4.38,39.41,4.38,13.14,50.35
24hpf,4082,1,31,27,76,45,32,4,178,150
2dpf,1553.88,4.17,29.19,33.36,135.95,255.23,60.05,4.17,60.89,120.11
3dpf,3242.15,10.34,9.19,10.92,10.92,171.82,7.47,0,12.07,32.75
5dpf,611.41,8.27,22.22,32.56,26.36,302.86,27.39,7.75,38.76,103.37
10dpf,1474.7,11.92,20.71,15.69,5.65,95.39,13.81,0,16.32,26.98
