stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,144.52,0,0,0,41.29,0,0,0,103.23,41.29
12hpf,3.86,0,0,0,0,0,0,1.93,3.86,0
14hpf,448.08,16.72,36.78,33.44,100.32,20.06,10.03,10.03,290.92,147.13
16hpf,20.51,2.05,2.05,6.15,14.36,2.05,0,2.05,14.36,8.2
19hpf,140.11,0,4.38,17.51,8.76,6.57,2.19,0,21.89,43.78
24hpf,30,1,0,0,6,2,0,0,15,12
2dpf,105.09,3.34,8.34,14.18,42.54,65.89,12.51,0.83,22.52,20.02
3dpf,740.14,39.08,11.49,25.28,8.05,122.4,5.17,0,11.49,35.05
5dpf,49.62,8.27,15.5,42.38,5.69,81.66,6.2,4.13,27.39,75.97
10dpf,270.47,33.89,43.3,46.44,6.9,147.47,6.9,0,33.26,31.38
