stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,2126.53,20.65,20.65,0,330.33,20.65,0,92.91,1042.62,670.99
12hpf,1441.96,32.77,3.86,38.56,381.69,71.33,0,111.81,759.53,341.21
14hpf,1491.36,40.13,66.88,113.69,391.23,143.79,10.03,73.56,605.24,695.52
16hpf,481.94,55.37,20.51,41.02,278.91,94.34,28.71,47.17,330.18,307.62
19hpf,908.51,24.08,4.38,32.84,218.92,83.19,24.08,30.65,151.05,564.81
24hpf,380,29,10,34,326,125,38,9,182,193
2dpf,869.11,29.19,61.72,160.14,578.85,1076.79,155.14,44.21,311.11,697.29
3dpf,829.21,38.5,35.05,68.38,133.32,1346.39,43.1,1.15,102.86,274.68
5dpf,548.36,49.62,120.94,267.72,139.03,1506.04,97.16,145.75,223.79,1178.37
10dpf,616.86,41.42,94.76,149.98,84.72,1036.68,77.19,4.39,129.27,250.39
