stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,6142.15,113.55,20.65,0,1063.26,72.26,0,185.81,2436.21,1889.1
12hpf,3591.4,73.25,17.35,80.97,981.22,142.65,11.57,129.16,1605.82,985.08
14hpf,4691.44,46.81,227.38,254.13,996.47,417.98,90.28,36.78,1745.5,1260.64
16hpf,3041.36,123.05,291.22,155.86,924.92,377.35,108.69,69.73,1322.78,998.75
19hpf,5315.34,48.16,131.35,94.13,672.08,299.92,131.35,26.27,650.19,785.92
24hpf,2455,38,252,39,483,216,59,6,615,270
2dpf,799.88,28.36,43.37,69.23,326.12,560.5,68.39,9.17,236.04,173.49
3dpf,2662.33,60.34,47.12,56.89,50.57,682.68,29.31,0,101.71,139.64
5dpf,211.38,14.99,74.94,68.22,46,550.42,36.18,34.11,155.57,400.54
10dpf,897.37,42.67,128.64,102.29,63.38,783.79,32,0,139.31,112.33
