stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,526.47,0,0,0,61.94,0,0,10.32,92.91,144.52
12hpf,555.19,11.57,17.35,9.64,152.29,25.06,1.93,3.86,38.56,192.78
14hpf,1401.08,20.06,16.72,6.69,163.85,30.09,6.69,6.69,80.25,150.47
16hpf,1222.29,16.41,18.46,14.36,182.52,69.73,6.15,14.36,73.83,203.03
19hpf,1860.81,2.19,0,13.14,83.19,28.46,10.95,2.19,10.95,76.62
24hpf,1478,11,25,33,254,77,14,4,67,83
2dpf,748.17,6.67,28.36,70.06,407.03,411.2,53.38,4.17,130.95,115.94
3dpf,1994.02,13.79,17.81,29.31,51.72,575.22,14.94,0,32.75,52.87
5dpf,242.91,16.02,68.74,79.07,73.39,558.18,30.49,17.06,85.79,181.92
10dpf,489.48,6.9,55.22,46.44,11.3,264.82,16.32,0,31.38,25.1
