stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,10.32,0,0,0,0,0
12hpf,0,1.93,0,13.49,111.81,1.93,0,0,3.86,9.64
14hpf,6.69,6.69,0,10.03,190.6,6.69,0,0,0,143.79
16hpf,8.2,0,8.2,18.46,285.06,12.3,0,0,8.2,172.27
19hpf,28.46,0,0,15.32,181.7,2.19,0,0,0,159.81
24hpf,12,0,2,63,115,3,0,0,96,49
2dpf,80.91,0.83,5,100.09,72.56,76.73,18.35,2.5,33.36,30.03
3dpf,245.37,1.72,9.19,74.13,10.92,94.82,1.15,0,4.6,2.87
5dpf,244.46,4.13,16.54,201.56,16.54,139.03,12.4,3.62,16.54,21.19
10dpf,860.35,10.04,15.06,170.69,21.34,79.7,8.79,0,18.83,9.41
