stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,1094.23,51.61,10.32,0,227.1,30.97,0,20.65,320.01,361.3
12hpf,2026.07,44.34,32.77,42.41,522.42,55.9,1.93,69.4,898.33,520.49
14hpf,886.12,16.72,60.19,63.53,177.22,76.91,6.69,10.03,250.79,193.94
16hpf,531.16,20.51,45.12,51.27,186.62,59.47,20.51,24.61,244.05,192.78
19hpf,748.7,2.19,2.19,17.51,87.57,37.22,21.89,2.19,72.24,102.89
24hpf,796,9,24,23,202,75,30,2,148,85
2dpf,526.3,12.51,45.04,60.05,275.25,442.06,51.71,12.51,165.15,170.15
3dpf,1769.91,18.39,21.26,28.73,35.63,493.62,14.37,0,44.25,78.15
5dpf,171.07,12.92,60.47,72.36,38.76,425.87,28.94,12.4,94.06,313.2
10dpf,480.69,27.61,50.83,51.46,26.36,360.2,17.57,0,45.18,70.91
