stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,6410.55,82.58,0,0,908.42,72.26,0,72.26,1238.75,1909.74
12hpf,5825.66,152.29,36.63,109.88,1281.95,213.98,15.42,117.59,1580.76,1648.23
14hpf,5600.97,40.13,56.85,93.63,514.95,274.2,53.5,20.06,474.83,708.9
16hpf,4554.87,92.29,22.56,61.52,611.14,330.18,94.34,34.86,500.4,879.8
19hpf,6843.39,26.27,2.19,32.84,251.76,89.76,61.3,8.76,59.11,269.27
24hpf,5182,33,82,60,469,181,107,11,463,411
2dpf,2530.59,24.19,93.42,80.07,382.84,538.81,280.25,12.51,183.5,323.62
3dpf,6095.26,34.48,25.86,20.11,40.8,301.11,98.84,0,23.56,89.64
5dpf,679.63,24.29,69.77,90.45,68.74,508.04,205.18,12.4,83.21,340.59
10dpf,2763.65,50.2,44.55,47.06,11.92,200.18,142.45,0,37.65,60.87
