stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,20.65,10.32,0,0,227.1,41.29,0,0,92.91,340.66
12hpf,26.99,3.86,0,1.93,358.56,163.86,0,7.71,227.47,420.25
14hpf,183.91,3.34,0,0,234.07,127.07,0,0,123.72,488.2
16hpf,157.91,6.15,0,0,166.12,123.05,4.1,4.1,166.12,492.2
19hpf,129.16,0,0,0,172.95,102.89,0,4.38,37.22,273.65
24hpf,149,1,2,6,295,197,2,0,515,182
2dpf,304.44,0.83,8.34,10.84,340.3,850.76,17.52,0.83,509.62,175.99
3dpf,161.48,4.6,5.17,8.62,15.52,725.2,0,0,172.39,58.61
5dpf,273.4,3.1,12.92,19.12,25.84,513.73,6.2,1.55,301.31,167.97
10dpf,125.51,11.3,6.9,13.81,5.02,652.01,0.63,0,252.27,53.34
