stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,5223.41,113.55,0,0,1001.33,82.58,0,154.84,1909.74,1858.13
12hpf,4790.46,152.29,17.35,136.87,1299.3,231.33,11.57,258.32,1999.08,1463.16
14hpf,4363.74,76.91,147.13,297.6,1029.91,381.2,70.22,113.69,1578.3,1461.27
16hpf,2920.36,172.27,100.49,237.89,1045.92,342.49,100.49,118.95,1195.63,1380.2
19hpf,5122.69,43.78,10.95,146.68,739.94,264.89,170.76,52.54,356.84,921.65
24hpf,2613,46,21,159,841,302,131,17,445,329
2dpf,1266.96,25.02,18.35,209.35,1049.27,1516.35,138.46,32.53,517.96,292.76
3dpf,1298.12,9.19,7.47,77.58,151.71,1727.96,53.44,0,147.11,82.75
5dpf,515.8,20.67,23.77,188.64,149.36,1637.83,59.95,66.15,284.26,411.4
10dpf,525.87,11.92,3.14,87.23,70.91,1106.97,42.04,2.51,128.02,41.42
