stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,20.65,0,0,0,0,0,0,0,0,0
12hpf,21.21,1.93,0,0,0,0,0,0,5.78,1.93
14hpf,43.47,0,0,0,0,3.34,0,0,6.69,0
16hpf,79.98,0,0,4.1,16.41,6.15,0,2.05,22.56,0
19hpf,153.24,0,2.19,41.59,6.57,2.19,0,2.19,4.38,2.19
24hpf,161,0,6,33,4,14,1,0,6,9
2dpf,676.44,3.34,45.04,88.41,73.4,140.12,50.04,6.67,58.39,77.57
3dpf,2196.87,3.45,12.64,37.93,6.32,78.15,2.3,0,2.3,14.37
5dpf,330.25,7.24,94.06,113.7,16.54,170.04,54.78,4.13,19.64,77.01
10dpf,958.24,8.79,121.74,33.89,1.88,48.95,34.51,0,8.16,10.04
