stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,51.61,10.32,0,0,30.97,0,0,0,41.29,20.65
12hpf,140.73,9.64,0,38.56,127.23,28.92,1.93,13.49,225.55,52.05
14hpf,180.57,0,30.09,56.85,26.75,16.72,3.34,3.34,70.22,10.03
16hpf,274.81,16.41,22.56,43.07,86.13,28.71,2.05,14.36,133.3,34.86
19hpf,2066.59,6.57,43.78,65.68,299.92,175.13,105.08,6.57,164.19,218.92
24hpf,2202,2,186,136,642,230,96,7,204,203
2dpf,972.53,6.67,152.64,92.58,675.6,511.29,113.43,6.67,160.14,133.45
3dpf,1637.74,15.52,32.18,24.71,45.4,358,23.56,0,20.11,18.96
5dpf,156.08,10.34,93.03,33.08,84.76,226.89,35.14,9.82,72.87,79.07
10dpf,239.09,3.77,39.53,5.65,9.41,89.11,21.96,0,8.79,11.3
