stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,10.32,0
12hpf,19.28,1.93,5.78,0,3.86,0,0,0,9.64,7.71
14hpf,23.41,0,0,0,0,0,0,0,3.34,6.69
16hpf,20.51,0,0,2.05,14.36,4.1,0,2.05,6.15,6.15
19hpf,8.76,0,0,0,2.19,0,0,0,2.19,2.19
24hpf,19,0,0,1,7,3,0,0,4,4
2dpf,83.41,1.67,3.34,10.84,54.21,94.25,13.35,1.67,35.03,36.7
3dpf,314.91,2.3,5.17,1.72,9.19,118.95,4.6,0,7.47,8.62
5dpf,25.32,3.1,7.75,12.92,7.24,103.37,5.69,8.27,14.99,41.35
10dpf,87.23,1.88,12.55,5.02,6.9,65.89,1.88,0,8.79,7.53
