stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,3429.72,74.22,49.33,0,704.3,22.04,0,148.6,1159.96,962.84
12hpf,5251.92,151.34,112.26,125.99,1252.26,231.92,13.75,219.66,2076.18,1317.92
14hpf,1305.69,20.21,147.07,94.47,256.76,133.52,14.52,23.42,409.23,241.72
16hpf,1409.33,67.25,78,153.3,552.36,208.94,48.89,37.82,623.59,448.11
19hpf,1822.04,7.15,12.99,29.71,204.45,84.75,36.68,8.33,131,196.99
24hpf,1452.1,17.46,58.48,48.31,315.63,140.36,44.76,2.22,202.29,144.18
2dpf,1039.81,21.42,51.16,79.56,428.15,740.02,65.28,6.57,212.58,187.86
3dpf,1748.73,15.25,11.96,28.69,25.87,426.47,13.39,0,33.24,44.58
5dpf,241.78,12.67,76.5,94.11,58.74,663.92,50.6,15.6,124,275.62
10dpf,836.89,19.76,72.1,94.59,32.13,499.22,22.53,1.15,52.17,80.43
