stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,9,0,0,0,0,0,0,0,0,0
12hpf,5.81,0,0,0,0,0,0,0,3.81,1.83
14hpf,2.45,0,0,0,0,0,0,0,0,0
16hpf,17.81,0,0,1.66,5.39,0,0,0,1.72,1.73
19hpf,5,0,0,1.75,0,2.23,0,0,0,0
24hpf,24.55,0,0.85,0,1.71,0.95,0,0,0.83,1.73
2dpf,143.09,2.78,13.29,7.81,29.95,38,10.68,0.8,12.38,29.54
3dpf,237.51,3.15,3.14,2.79,2.78,34.91,0.85,0,1.71,8.9
5dpf,31.49,4.07,16.18,6.1,7.11,58.69,8.91,2.44,14.07,59.42
10dpf,86.95,8.26,7.03,8.15,5.98,52.25,8.55,0,12.7,10.56
