stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,8.7,0,12.16,0,10.37,8.34,0,0,0,10
12hpf,21.08,0,7.12,6.14,26.71,11.21,0,13.94,24.76,12.28
14hpf,2.23,2.64,0,3.12,2.3,5.1,0,2.92,0,2.58
16hpf,37.57,0,2.34,5.5,21.42,7.38,0,0,24.84,18.96
19hpf,29.61,0,0,1.52,3.21,0,0,1.63,1.53,5.26
24hpf,46.1,0.92,2.82,4.43,10.38,6.11,2.38,0.9,6.69,7.36
2dpf,454.96,1.88,31.63,56.43,121.32,250.64,121.77,8.45,86.69,120.47
3dpf,990.19,12.37,10.03,15.68,20.4,246.17,6.7,0,15.29,43.39
5dpf,151.56,15.19,43.41,63.71,34.16,364.03,35.77,10.86,48.8,204.62
10dpf,495.7,33.41,44.07,41.27,14.42,244.83,29.66,0,30.93,58
