stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,8.87,20.24,9.12,0,19.46,8.84,0,0,8.55,122.33
12hpf,338.39,59.96,8.31,48.14,125.9,7.51,0,10.36,115.62,223.53
14hpf,102.87,5.93,16.15,28.55,46.56,6.68,3.65,8.1,16.11,98.32
16hpf,282.27,35.76,20.17,24.95,68.81,6.43,10.19,9.96,113.33,143.02
19hpf,504.45,1.8,0,13.01,41.36,0,6.92,2.41,32.89,413.51
24hpf,346.45,1.21,109.15,7.43,74.46,2.94,6.19,0.87,26.02,126
2dpf,353.56,9.49,46.28,34.29,190.95,50.87,10.96,3.12,33.77,111.2
3dpf,433.67,6.27,5.35,5.71,12.54,62.98,2.95,0,2.84,15.16
5dpf,58.13,4.17,53.47,7.01,26.4,85.59,4.57,0.29,15.97,44.31
10dpf,73.4,2.42,24.46,0,8.79,75.23,3.16,0,0.37,6
