stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,10.99,0,0,0,0,0,0,0,0
12hpf,26.49,0,0,0,1.97,0,0,0,0
14hpf,2.74,0,0,0,2.28,0,0,2.32,0
16hpf,44.2,0,40.12,9.73,12.58,0,1.89,0,1.7
19hpf,39.02,0,0,30.18,12.98,0,0,0,3.73
24hpf,64.82,1.57,0,1.26,0.98,0,0,8.43,0.82
2dpf,257.4,0,3.52,9.26,0.48,10.61,0,1.8,3.83
3dpf,62.81,0,0.99,2.15,0.83,5.94,0,0.84,1.75
5dpf,84.78,0,0.63,6.05,0,10.92,0,0,6.13
10dpf,33.79,0,2.98,5.37,0,0.76,0,0,0.39
