stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,902.56,21.28,33.25,0,163.81,0,0,0,330.72,138.68
12hpf,973.94,34.92,3.77,31.13,194.34,33.81,2.16,16.35,352.31,203.61
14hpf,240.73,5.09,21.17,14.1,55.95,24.74,4.98,0,79.76,50.45
16hpf,437.53,14.81,15.11,19.16,99.23,42.31,19.76,3.39,101.48,85.47
19hpf,528.3,6.3,5.28,5.02,28.05,15.23,4.57,2.07,13.79,12.08
24hpf,692.67,7.66,10.13,11.53,115.68,55.06,14.6,1.78,60,54.78
2dpf,893.59,26.64,44.92,85.55,334.26,550.29,84.28,7.18,175.95,186.49
3dpf,1511.81,12.25,16.27,19.92,23.43,316.69,17.95,0,27.78,66.47
5dpf,240.45,17.76,97.18,110.31,67.87,682.44,46.32,20.16,131.81,421.95
10dpf,759.06,29.81,75.05,72.42,37.88,487.06,24.76,0.71,62.73,110.04
