stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,162.34
12hpf,0,0,0,0,0,0,0,0,24.49
14hpf,0,0,0,0,0,0,0,0,524.89
16hpf,0,0,0,0,0,0,0,0,28.8
19hpf,1.62,0,0,0,0,0,0,0,744.02
24hpf,1.29,1.92,0,1.24,0,0,0,0,64.78
2dpf,22.14,0,0,0,1.7,0,0,1.34,181.21
3dpf,19.9,4.29,0,0,0,5.69,0,1.87,199.85
5dpf,26.11,0.3,1.63,0.3,0,4.66,1.12,0.39,323.72
10dpf,17.56,5.76,0,0.77,0,6.68,0.65,0,224.18
