stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,116.92,29.59,0,0,25.87,8.96,0,0,8.31,270.76
12hpf,289.98,458.4,0,14.61,54.46,18.69,0,19.75,140.35,215.71
14hpf,19.24,3.41,2.52,2.45,23.9,17.08,0,0,3.97,83.89
16hpf,14.34,352.37,8.37,5.78,9.31,3.68,1.63,0,21.38,18.98
19hpf,14.07,1.87,6.37,0,0,0,12.48,0,2.02,30.58
24hpf,14.16,46.17,287.99,5.6,4.52,6.89,49.98,0.92,1.77,6.74
2dpf,111.02,1.93,728.5,78.18,73.11,104.03,79.58,0,57.7,92.86
3dpf,83.19,2.63,375.01,28.38,10.25,116.68,1.26,0,6.7,28.56
5dpf,57.55,12.06,869.96,85.08,21.13,192.39,16.9,3,41.4,133.79
10dpf,95.49,19.17,550.45,28.28,4.15,67.51,6.61,0,28.3,49.36
