stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,26.33,0,0,0,0,0,0,0,43.66,19.19
12hpf,55.08,0,0,2.2,31.85,9.45,0,0,41.92,2.22
14hpf,37.74,0,11.32,0,21.02,6.01,0,0,44.4,15.78
16hpf,115.76,4.07,14.09,3.69,19.42,3.49,0,0,84.77,24.01
19hpf,166.31,1.69,3.56,0,19.1,5.1,1.96,0,24.5,12.47
24hpf,76.24,0.9,2.7,0,9.62,8.08,1.81,0,43.8,3.91
2dpf,76.42,5.89,2.98,10.43,43.15,97.88,12.02,2.05,50.13,21.02
3dpf,91.84,4,5.79,5.01,6.74,69.82,5.77,0,16.56,13.52
5dpf,76.63,8.36,26.61,32.62,24.34,419.28,23.62,15.43,110.23,157.95
10dpf,148.32,18.65,19.24,26.31,20.22,298.79,11.42,0,71.18,32.83
