stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,216.33,0,0,0,18.51,0,0,0,71,53.27
12hpf,164.74,6.26,0,1.95,46.3,9.78,0,1.81,74.67,47.02
14hpf,142.01,0,10.62,6.22,25.59,26.31,3.72,0,40.39,48.93
16hpf,258.51,24.09,11.64,5.34,78.56,28.32,9.27,7.78,73.42,107.16
19hpf,334.34,6.38,1.81,4.41,20.93,17.51,3.6,1.67,10.12,42.61
24hpf,375.89,1.64,10.75,11.65,89.94,28.39,10.74,2.04,41.22,33.08
2dpf,811.19,14.98,35.19,77.4,297.79,527.35,72.49,6.78,130.72,225.14
3dpf,1273.99,7.75,9.18,14.52,24.92,272.81,10.42,0,21.86,36.19
5dpf,170.31,20.46,65.55,76.79,37.37,502.28,45.9,12.15,94.36,288.33
10dpf,592.41,10.69,53.96,38.67,25.05,218.56,19.41,0,27.53,60.19
