stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,25446.11,507.79,277.98,0,5084.17,407.96,0,925.97,9460.03,8824.82
12hpf,36901,1081.27,563.41,1327.7,9808.1,1793.23,94.85,2083.93,15987.36,11373.38
14hpf,15290.01,225.7,1096.15,1099.22,3427.39,1519.66,249.68,375.25,4976.91,4772.19
16hpf,13781.61,547.61,1278.86,998.11,4673.21,1686.53,408.94,603.89,5278.27,6003.62
19hpf,15844.82,115.61,349.79,479.51,1818.26,749.65,384.57,131.24,1426.1,3426.21
24hpf,13030.38,154.83,2057.8,599.65,2925.38,1205.92,396.92,65.11,1848.19,1791.95
2dpf,5324.29,87.48,170.15,313.8,1920.97,2506.43,267.49,23.51,623.45,570.97
3dpf,13621.42,96.31,113.54,120.51,122.04,1671.52,84.25,0,167.21,285.63
5dpf,862.59,65.65,452.03,241.55,237.74,1555.89,127.97,49.07,422.86,864.21
10dpf,2982.22,77.43,366.08,140.82,49.4,627.26,42.93,0.4,101.84,194.86
