stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,10.93,0
12hpf,0,0,0,0,0,0,0,0,24.61,0
14hpf,0,0,0,0,0,2.25,0,0,63.84,0
16hpf,0,0,0,0,0,0,0,0,165.58,0
19hpf,1.71,0,0,0,0,0,1.64,0,29.58,0
24hpf,1.77,0,0,0,0,0,10.96,0,233.74,0
2dpf,33.35,3.03,0,38.74,3.89,14.59,93.23,0,15.83,1.15
3dpf,47.13,48.11,1.27,11.74,1.42,11.83,1.12,0,1.97,0
5dpf,12.29,7.91,3.09,41.2,1.43,19.52,14.09,0.3,6.39,9.39
10dpf,18.76,12.78,1.13,8.47,0,3.52,1.47,0,1.81,0.95
