stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,213.93,12.83,0,0,9.73,0,0,9.25,612.09,0
12hpf,1784.96,143.09,0,141.64,250.47,0,0,327.66,3085.36,107.21
14hpf,385.24,58.1,0,23.85,93.54,8.49,17.55,51.48,545.87,433.51
16hpf,540.61,237.84,0,58.91,212.38,73.5,82.63,101.19,789.12,761.68
19hpf,256.35,23.12,0,3.48,13.46,7.45,12.6,13.81,90.82,152.53
24hpf,435.29,31.09,4.66,51.24,160.11,110.01,49.92,14.12,212.09,44.65
2dpf,816.38,3.08,2.68,21.86,424.43,281.88,42.12,6.17,182.17,130.23
3dpf,163.78,1.24,1.15,2.37,89.35,494.76,0.33,0,47.26,12.09
5dpf,105.58,2.73,0.96,16.87,39.17,345.47,9.42,6.87,45.99,78.53
10dpf,91.61,0.37,2.8,8.68,18.62,225.76,10.23,0,32.11,21.48
