stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,460.53,22.77,12.16,0,123.84,8.39,0,9.24,292.44,292.44
12hpf,530.05,49.46,19.44,29.88,224.79,41.82,0,41.33,730.81,297.86
14hpf,150.52,24.16,22.27,33.46,186.71,30.16,8.42,0,186.38,178.76
16hpf,424,57.62,68.72,91.28,409.14,76.88,10.35,16.9,576.7,332.68
19hpf,385.83,12.03,16.63,84.11,102.64,19.73,13.54,10.42,133.77,244.56
24hpf,510.35,17.89,43.85,31.52,192.98,51.89,41.07,4.86,555.85,216.43
2dpf,690.48,51.74,58.81,118.65,339.3,548.16,121.35,6.09,255.33,275.02
3dpf,988.69,77.47,20.47,63.02,42.54,355.72,12.8,0,39,106.19
5dpf,203.41,40.92,112.13,168.8,47.54,458.49,42.45,11.84,129,426.05
10dpf,541.75,67.41,82.39,99.25,35.03,345.31,23.33,0,78.05,95.6
