stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,53.87,0,0,0,0,0,0,8.64,50.9,0
12hpf,73.05,8.28,0,4.27,5.63,0,0,4.17,96.49,3.08
14hpf,10.51,0,85.08,58.75,140.29,3.45,0,0,340.26,0
16hpf,20.41,5.47,296.46,713.12,454.22,53.69,1.8,11.24,445.4,14.11
19hpf,8.56,0,27.82,536.97,29.69,20.21,3.62,15.3,63.74,0
24hpf,102.66,0,17.93,2332.9,316.14,126.69,141.53,44.18,293.91,22.55
2dpf,318.71,0,32.12,2279.97,579.38,328.06,834.63,4.34,128.73,18.41
3dpf,166.97,2.83,116.01,817.89,121.07,1299.94,629.19,0.53,204.14,7.37
5dpf,110.37,15.7,171.01,1770.68,127.35,781.73,674.9,60.07,245.08,41.43
10dpf,705.76,11.94,142.02,863.34,102.87,505.73,502.08,1.86,120.17,15.07
