stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.72,0,0,0,0,0,0,0,0,0
12hpf,30.12,2.2,0,0,10.36,2.27,0,2.15,23.8,11.69
14hpf,6.76,2.25,2.89,2.62,2.82,0,0,0,11.33,12
16hpf,25.53,1.85,1.95,9.48,29.67,7.06,1.85,1.87,26.07,19.63
19hpf,17.41,0,0,1.58,0,1.68,0,0,0,6.42
24hpf,61.94,3.84,0.93,7.01,36.37,14.88,1.87,0.93,16.11,8.19
2dpf,259.71,4.57,21.1,64.79,208.68,381.33,48.11,1.54,104.05,154.77
3dpf,276.27,3.54,4.56,11.6,31.66,303.22,7.69,0,20.53,17
5dpf,172.61,15.99,43.77,80.43,56.49,781.66,47.57,11.23,90.6,267.71
10dpf,320.87,7.42,15.37,29.78,25.09,318.38,16.1,0.51,28.61,21.83
