stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,9.54,0,0,0,10.57,0,0,61.93,0,0
12hpf,11.77,0,1.83,4.2,52.68,17.08,0,161.89,22.72,7.31
14hpf,2.54,0,0,13.96,11.53,0,0,42.86,2.82,10.74
16hpf,26.91,19.14,2.68,11.07,37.73,15.37,2.08,69.33,23.96,78.51
19hpf,27.49,0,0,12.67,27.54,12.89,3.62,57.7,1.84,104.9
24hpf,30.76,0.85,2,4.52,80.17,35.78,1.41,10.21,32.84,64.58
2dpf,210.92,5.47,2.45,36.36,370.36,948.11,15.24,96.94,231.67,313.78
3dpf,63.03,3.35,1.38,5.17,33.5,496.64,1.28,0.42,24.2,27.88
5dpf,68.22,5.95,2.41,23.76,38.31,569.58,4.58,16.23,74.34,94.96
10dpf,89.55,3.16,1.94,13.21,11.19,246.68,4.56,0,15.61,13.55
