stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,33.84,0,0,0,0,0,0,0,0,8.59
12hpf,19.13,0,0,0,14.65,1.89,0,1.85,3.86,7.27
14hpf,22.8,0,2.68,0,0,0,0,0,6.61,24.58
16hpf,22.93,2.4,6.09,0,14.05,6.33,0,0,8.89,22.47
19hpf,80.35,1.77,0,0,11.29,5.28,0,0,0,21.04
24hpf,65.85,1.06,7.33,2.68,12.65,6.82,0,0,9.14,25.09
2dpf,374.84,4.46,27.72,48.14,130.24,273.49,40.33,4.49,67.03,203.75
3dpf,1181.24,12.02,8.47,27.27,39.35,492.46,14.09,0,27.12,106.98
5dpf,174.57,16.45,51.1,77.75,43.89,542.65,44.63,18.35,57.17,430.81
10dpf,806.36,32.42,48.53,82.45,40.22,544.81,29.45,1.9,47.89,117.72
