stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,111.93,8.34,0,0,468.92,120.64
12hpf,15.78,39.93,0,0,224.53,22.18,0,12.58,580.39,71.6
14hpf,92.13,12.59,4.27,0,6.03,11.82,0,2.95,61.19,1105.93
16hpf,97.89,8.9,1.89,0,6.07,9.12,0,19.36,421.79,375.78
19hpf,76.08,1.92,2.01,3.72,6.41,8.65,0,12.93,209.1,1190.49
24hpf,51.22,0.87,79.2,1.65,18.36,5.8,7.54,0,978.95,181.15
2dpf,484.13,6.44,116.57,28.81,97.33,374.24,233.21,235.52,324.66,419.07
3dpf,6911.35,89.85,14.91,22.37,66.66,923.48,72.73,1.88,174.86,351.63
5dpf,524.72,23.66,476.26,62.31,40.91,450.17,34.82,257.77,145.41,580.83
10dpf,25021.58,215.21,794.9,242.31,120.08,898.34,114.31,12.89,263.42,495.59
