stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,114.71,0,0,0,8.69,0,0,8.48,18.5,0
12hpf,70.74,6.28,0,1.97,24.28,6.68,0,20.21,16.53,42.79
14hpf,144.11,0,4.97,8.47,21.67,0,0,12.85,24.99,78.26
16hpf,141.36,6.16,6.96,16.08,36.53,22.54,5.62,8.88,38.14,87.09
19hpf,263.69,0,0,13.03,8.37,15.15,4.34,1.57,1.73,52.63
24hpf,196.73,1.19,6.26,17.41,44.31,15.73,6.06,0.89,19.29,39.86
2dpf,691.37,4.65,32.29,121.25,215.83,408.36,56.37,14.52,118.44,228.78
3dpf,1587.03,12,20.71,37.28,54.94,526.69,19.39,0,29.19,99.53
5dpf,279.17,30.33,80.18,155.53,63.64,817.62,87.07,30.6,88.34,437.58
10dpf,1208.01,45.45,76.14,79.15,35.75,511.47,35.22,2.5,43.74,96.42
