stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,9.34,0,0,0,0,0,0,0,0,0
12hpf,3.22,0,0,0,0,0,0,0,2.29,0
14hpf,7.96,0,0,0,3.08,5.03,0,0,0,0
16hpf,9.53,0,0,0,0,4.61,0,0,0,3.48
19hpf,12.34,0,0,0,1.83,0,0,0,0,0
24hpf,20,3.17,1.69,1.77,4.86,12.91,0,0,1.71,8.6
2dpf,274.98,0,2.89,16.06,95.65,239.14,9.52,1.29,40.3,104.63
3dpf,1474.68,2.44,6.73,5.5,47.33,499.7,4.63,0,12.65,47.13
5dpf,265.61,6.74,8.7,29.69,32.14,460.08,14.13,3.62,25.38,160.05
10dpf,1153.67,9.55,13.44,13.09,14,344.17,13.74,4.44,18.07,35.15
