stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,564.51,18.33,0,0,86.94,11.18,0,10.78,178.08,154.24
12hpf,4702.89,85.47,4.2,90.37,920.84,139.38,26.76,280.14,2114.47,1093.53
14hpf,2021.78,52.62,75.92,143.67,370.33,245.66,29.52,44.71,696.53,526.93
16hpf,17.26,0,0,5.47,1.86,0,0,0,16.21,7.35
19hpf,265.71,7.72,0,7.1,16.41,17.41,1.56,1.96,10.68,35.43
24hpf,12.59,0,0,4.69,6.6,1.65,0,0.86,4.64,5.31
2dpf,14.56,0,0,1.91,11.56,9.89,2.72,0.58,6.89,2.68
3dpf,230.12,1.41,1.34,7.57,5.45,69.61,0.37,0,7.76,8.09
5dpf,22.71,2.09,3.95,12.51,13.27,80.41,3.03,4.19,16.1,41.14
10dpf,92.41,1.97,3.75,18.05,5.06,91.48,1.17,0.51,5.39,6.81
