stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,54114.06,737,389.17,0,8016.29,617.89,0,1381.16,19230.85,17599.09
12hpf,70172.15,1954.64,394.43,1753.36,15700.3,2972.42,164.79,2972.34,29586.08,20140.76
14hpf,26641.33,408.5,1140.66,1400.84,5917.71,2915.32,624.06,618.61,9129.49,8905.75
16hpf,14883.69,714.35,1200.99,983.08,5024.7,1803.59,611.83,582.75,6779.34,6397.67
19hpf,27778.98,222.59,606.05,736.51,3727.92,1580.22,1249.43,254.53,2887.32,6850.29
24hpf,26384.57,536.91,2998.84,1300.02,6879.61,2781.33,1779.2,141.81,7515.23,4582.27
2dpf,9712.38,353.49,538.47,985.19,4481.81,6997.72,1168.01,117.2,2530.92,2474.66
3dpf,14952.53,305.24,308.08,415.39,430.92,5683.96,293.6,0.77,643.42,994.4
5dpf,3095.1,403.66,1111.05,1428.66,809.75,8657.19,922.59,447.58,1826.43,5938.79
10dpf,8931.9,532.47,1133.69,1063.86,450.37,6089.95,439.29,10.82,848.47,1195.77
