stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,484.85,0,32.96,0,73.41,0,0,95.26,110.9,130.01
12hpf,1774.12,54.59,77.44,57.83,379.65,119.9,7.04,342.37,545.85,493.54
14hpf,249.82,3.41,56.92,19.54,43.74,21.38,2.92,87.43,46.04,210.87
16hpf,717.81,35.28,59.99,29.51,182.2,79,12.57,181.77,203.16,954.26
19hpf,248.78,1.79,3.92,8.8,61.38,32.14,5,45.04,19.01,317.16
24hpf,360.86,4.6,33.48,35.46,182.45,99.3,18.14,19.61,103.3,207.82
2dpf,683.55,19.15,42.64,86.98,453.49,1266.52,92.96,67.76,396.94,339.21
3dpf,365.35,21.07,9.77,17.98,43.55,639.39,15.05,0,41.11,45.5
5dpf,186.49,18.98,77.23,76.87,60.52,747.32,45.22,37.81,128.5,264.49
10dpf,254.08,46,52.19,35.7,38.31,356.62,16.76,0.51,50.88,58.97
