stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,9.12,0,21.93,0,0,0,8.41,8.46
12hpf,3.68,0,0,0,0,1.86,0,0,3.72,2.57
14hpf,0,0,2.35,0,0,2.34,0,0,5.07,7.9
16hpf,5.84,6.19,2.01,3.93,3.41,3.84,0,0,14.9,11.39
19hpf,23.18,0,0,0,4.8,3.85,0,0,0,0
24hpf,31.52,0,1.04,1.82,8.04,5.29,3.33,0.82,12.13,4.5
2dpf,194.79,12.12,10.5,54.63,136.97,223.54,5.65,2.54,47.64,70.02
3dpf,157.88,3.76,0.96,8.34,12.4,142.58,1.7,0,5.36,10.82
5dpf,28.19,6.8,13.96,28.62,10.84,157.37,12.07,6.48,18.84,77.03
10dpf,55.46,4.68,12.9,15.82,3.68,57.28,12.95,0,6.08,8.48
